Codice Istat comune (numerico);Rifiuto residuo (in Kg);Comune;Rifiuto totale (in Kg);Rifiuto totale pro capite (in Kg);Rifiuto totale differenziato pro capite (in Kg);Rifiuto totale residuo pro capite (in Kg);Raccolta differenziata (in Kg);Anno;Popolazione a fine anno
Longarone;1.967.700;Longarone;3.240.590;785,6;308.58;477,02;1.272.890;2003;4.125
Lorenzago di Cadore;224.720;Lorenzago di Cadore;281.919;460,65;93.46;367,19;57.199;2003;612.000
Lozzo di Cadore;512.355;Lozzo di Cadore;619.133;375;64.67;310,33;106.778;2003;1.651
Mel;1.424.620;Mel;2.319.550;370,18;142.82;227,36;894.930;2003;6.266
Ospitale di Cadore;135.530;Ospitale di Cadore;187.024;506,84;139.55;367,29;51.494;2003;369.000
Pedavena;1.241.120;Pedavena;1.633.498;367,66;88.31;279,34;392.378;2003;4.443
Perarolo di Cadore;144.682;Perarolo di Cadore;202.036;547,52;155.43;392,09;57.354;2003;369.000
Pieve d'Alpago;635.054;Pieve d'Alpago;857.559;421,4;109.34;312,07;222.505;2003;2.035
Pieve di Cadore;1.662.200;Pieve di Cadore;2.100.915;520,8;108.75;412,05;438.715;2003;4.034
Ponte nelle Alpi;2.645.360;Ponte nelle Alpi;3.650.750;452,44;124.60;327,84;1.005.390;2003;8.069
Puos d'Alpago;565.672;Puos d'Alpago;772.178;327,06;87.47;239,59;206.506;2003;2.361
Quero;558.070;Quero;854.151;353,83;122.65;231,18;296.081;2003;2.414
Rivamonte Agordino;109.610;Rivamonte Agordino;134.847;198,6;37.17;161,43;25.237;2003;679.000
Rocca Pietore;624.894;Rocca Pietore;844.814;604,73;157.42;447,31;219.920;2003;1.397
San Gregorio nelle Alpi;307.600;San Gregorio nelle Alpi;449.414;277,93;87.70;190,23;141.814;2003;1.617
San Nicolo' di Comelico;134.280;San Nicolò di Comelico;183.346;432,42;115.72;316,7;49.066;2003;424.000
San Pietro di Cadore;549.050;San Pietro di Cadore;729.795;404,99;100.30;304,69;180.745;2003;1.802
Santa Giustina;1.690.250;Santa Giustina;2.306.652;353,35;94.42;258,92;616.402;2003;6.528
San Tomaso Agordino;262.852;San Tomaso Agordino;324.635;418,34;79.62;338,73;61.783;2003;776.000
Santo Stefano di Cadore;976.980;Santo Stefano di Cadore;1.273.854;450,76;105.05;345,71;296.874;2003;2.826
San Vito di Cadore;521.570;San Vito di Cadore;1.043.041;597,73;298.84;298,89;521.471;2003;1.745
Sappada;824.630;Sappada;1.011.678;747,18;138.14;609,03;187.048;2003;1.354
Sedico;3.131.200;Sedico;4.211.836;466,12;119.59;346,53;1.080.636;2003;9.036
Selva di Cadore;302.079;Selva di Cadore;416.440;753,06;206.80;546,25;114.361;2003;553.000
Seren del Grappa;440.330;Seren del Grappa;685.439;265,78;95.04;170,74;245.109;2003;2.579
Sospirolo;710.080;Sospirolo;1.093.762;340,95;119.60;221,35;383.682;2003;3.208
Soverzene;118.170;Soverzene;164.144;390,82;109.46;281,36;45.974;2003;420.000
Sovramonte;387.710;Sovramonte;600.209;360,49;127.63;232,86;212.499;2003;1.665
Taibon Agordino;572.867;Taibon Agordino;726.020;407,88;86.04;321,84;153.153;2003;1.780
Tambre;663.336;Tambre;891.259;589,07;150.64;438,42;227.923;2003;1.513
Trichiana;493.720;Trichiana;1.162.310;258,18;148.51;109,67;668.590;2003;4.502
Vallada Agordina;196.766;Vallada Agordina;266.750;472,12;123.87;348,26;69.984;2003;565.000
Valle di Cadore;271.040;Valle di Cadore;643.033;313,22;181.19;132,02;371.993;2003;2.053
Vas;186.630;Vas;252.590;284,13;74.20;209,93;65.960;2003;889.000
Vigo di Cadore;502.608;Vigo di Cadore;640.189;389,65;83.74;305,91;137.581;2003;1.643
Vodo Cadore;94.930;Vodo Cadore;352.780;367,48;268.59;98,89;257.850;2003;960.000
Voltago Agordino;336.093;Voltago Agordino;434.140;443,91;100.25;343,65;98.047;2003;978.000
Zoldo Alto;689.160;Zoldo Alto;819.504;727,8;115.76;612,04;130.344;2003;1.126
Zoppe' di Cadore;53.660;Zoppè di Cadore;72.480;242,41;62.94;179,46;18.820;2003;299.000
Altivole;746.653;Altivole;2.091.649;332,01;213.49;118,52;1.344.996;2003;6.300
Arcade;407.542;Arcade;1.367.904;374,36;262.82;111,53;960.362;2003;3.654
Asolo;1.174.478;Asolo;3.147.516;383,89;240.64;143,25;1.973.038;2003;8.199
Borso del Grappa;704.743;Borso del Grappa;1.622.469;316,52;179.03;137,48;917.726;2003;5.126
Breda di Piave;502.361;Breda di Piave;1.896.566;275,94;202.85;73,09;1.394.205;2003;6.873
Caerano di San Marco;831.037;Caerano di San Marco;2.458.793;344,66;228.17;116,49;1.627.756;2003;7.134
Cappella Maggiore;834.790;Cappella Maggiore;1.361.225;305;117.96;187,05;526.435;2003;4.463
Carbonera;1.088.654;Carbonera;3.445.022;333,05;227.80;105,24;2.356.368;2003;10.344
Casale sul Sile;898.939;Casale sul Sile;3.093.444;285,32;202.41;82,91;2.194.505;2003;10.842
Casier;919.594;Casier;3.141.417;326,01;230.58;95,43;2.221.823;2003;9.636
Castelcucco;212.064;Castelcucco;678.469;330,64;227.29;103,35;466.405;2003;2.052
Castelfranco Veneto;5.988.042;Castelfranco Veneto;15.637.312;479,63;295.96;183,67;9.649.270;2003;32.603
Castello di Godego;757.037;Castello di Godego;1.955.939;300,13;183.97;116,16;1.198.902;2003;6.517
Cavaso del Tomba;442.348;Cavaso del Tomba;994.700;347,19;192.79;154,4;552.352;2003;2.865
Cessalto;431.200;Cessalto;1.161.500;358,82;225.61;133,21;730.300;2003;3.237
Chiarano;221.090;Chiarano;710.553;213,57;147.12;66,45;489.463;2003;3.327
Cimadolmo;551.782;Cimadolmo;950.642;275,47;115.58;159,89;398.860;2003;3.451
Cison di Valmarino;347.700;Cison di Valmarino;958.859;363,48;231.68;131,8;611.159;2003;2.638
Codogne';613.230;Codognè;1.395.128;268,86;150.68;118,18;781.898;2003;5.189
Colle Umberto;552.878;Colle Umberto;1.729.451;358,73;244.05;114,68;1.176.573;2003;4.821
Conegliano;4.774.050;Conegliano;14.912.409;418,28;284.37;133,91;10.138.359;2003;35.652
Cordignano;895.250;Cordignano;1.782.030;265,18;131.96;133,22;886.780;2003;6.720
Cornuda;823.645;Cornuda;2.305.948;388,6;249.80;138,8;1.482.303;2003;5.934
Crespano del Grappa;758.654;Crespano del Grappa;1.706.717;379,78;210.96;168,81;948.063;2003;4.494
Crocetta del Montello;788.574;Crocetta del Montello;1.933.099;333,24;197.30;135,94;1.144.525;2003;5.801
Farra di Soligo;776.360;Farra di Soligo;2.246.575;276,91;181.22;95,69;1.470.215;2003;8.113
Follina;509.015;Follina;1.216.365;312,21;181.56;130,65;707.350;2003;3.896
Fontanelle;580.950;Fontanelle;1.319.594;238,32;133.40;104,92;738.644;2003;5.537
Fonte;759.105;Fonte;2.157.082;384,92;249.46;135,46;1.397.977;2003;5.604
Fregona;612.250;Fregona;905.450;306,1;99.12;206,98;293.200;2003;2.958
Gaiarine;809.770;Gaiarine;1.779.982;285,12;155.41;129,71;970.212;2003;6.243
Giavera del Montello;402.699;Giavera del Montello;1.325.652;288,12;200.60;87,52;922.953;2003;4.601
Godega di Sant'Urbano;790.542;Godega di Sant'Urbano;2.515.131;420,17;288.10;132,07;1.724.589;2003;5.986
Gorgo al Monticano;256.360;Gorgo al Monticano;682.928;167,75;104.78;62,97;426.568;2003;4.071
Istrana;1.017.251;Istrana;2.460.592;307,27;180.24;127,03;1.443.341;2003;8.008
Loria;1.003.557;Loria;2.251.737;273,24;151.46;121,78;1.248.180;2003;8.241
Mansue';396.670;Mansuè;946.390;220,81;128.26;92,55;549.720;2003;4.286
Mareno di Piave;931.300;Mareno di Piave;2.801.363;341,88;228.22;113,66;1.870.063;2003;8.194
Maser;533.725;Maser;1.710.708;351,85;242.08;109,77;1.176.983;2003;4.862
Maserada sul Piave;673.216;Maserada sul Piave;2.351.733;283,34;202.23;81,11;1.678.517;2003;8.300
Meduna di Livenza;319.380;Meduna di Livenza;718.587;262,35;145.75;116,6;399.207;2003;2.739
Miane;302.595;Miane;865.718;241,21;156.90;84,31;563.123;2003;3.589
Mogliano Veneto;4.380.700;Mogliano Veneto;10.812.278;400,07;237.98;162,09;6.431.578;2003;27.026
Monastier di Treviso;432.693;Monastier di Treviso;1.213.234;332,67;214.02;118,64;780.541;2003;3.647
Monfumo;109.628;Monfumo;350.319;244,98;168.32;76,66;240.691;2003;1.430
Montebelluna;5.506.234;Montebelluna;13.807.595;478,47;287.66;190,8;8.301.361;2003;28.858
Morgano;542.200;Morgano;1.182.989;304,97;165.19;139,78;640.789;2003;3.879
Moriago della Battaglia;191.340;Moriago della Battaglia;716.103;263,27;192.93;70,35;524.763;2003;2.720
Motta di Livenza;1.453.490;Motta di Livenza;4.228.379;424,32;278.46;145,86;2.774.889;2003;9.965
Nervesa della Battaglia;631.124;Nervesa della Battaglia;1.956.722;286,78;194.28;92,5;1.325.598;2003;6.823
Oderzo;5.174.760;Oderzo;8.435.472;464,2;179.44;284,77;3.260.712;2003;18.172
Ormelle;761.150;Ormelle;1.308.396;312,12;130.55;181,57;547.246;2003;4.192
Orsago;477.980;Orsago;1.174.800;314,79;186.71;128,08;696.820;2003;3.732
Paderno del Grappa;286.215;Paderno del Grappa;694.064;332,88;195.61;137,27;407.849;2003;2.085
Paese;1.870.496;Paese;5.715.219;293,71;197.58;96,12;3.844.723;2003;19.459
Pederobba;1.042.119;Pederobba;2.586.311;357,67;213.55;144,12;1.544.192;2003;7.231
Pieve di Soligo;1.173.010;Pieve di Soligo;4.194.891;371;267.26;103,74;3.021.881;2003;11.307
Ponte di Piave;1.385.150;Ponte di Piave;2.747.883;370,04;183.51;186,53;1.362.733;2003;7.426
Ponzano Veneto;1.143.752;Ponzano Veneto;3.377.403;317,28;209.83;107,44;2.233.651;2003;10.645
Portobuffole';206.420;Portobuffolè;360.410;462,06;197.42;264,64;153.990;2003;780.000
Possagno;259.360;Possagno;734.762;350,39;226.71;123,68;475.402;2003;2.097
Povegliano;421.946;Povegliano;1.217.692;274,44;179.34;95,1;795.746;2003;4.437
Preganziol;1.052.235;Preganziol;4.948.977;321,74;253.33;68,41;3.896.742;2003;15.382
Quinto di Treviso;1.255.506;Quinto di Treviso;4.386.762;468,37;334.32;134,05;3.131.256;2003;9.366
Refrontolo;148.930;Refrontolo;409.620;226,43;144.11;82,33;260.690;2003;1.809
Resana;964.894;Resana;2.478.702;312,1;190.61;121,49;1.513.808;2003;7.942
Revine Lago;255.370;Revine Lago;499.620;229,92;112.40;117,52;244.250;2003;2.173
Riese Pio X;1.188.422;Riese Pio X;3.368.875;335,31;217.03;118,29;2.180.453;2003;10.047
Roncade;1.682.786;Roncade;4.497.002;362,72;226.99;135,73;2.814.216;2003;12.398
Salgareda;1.039.170;Salgareda;2.034.408;343,19;167.89;175,3;995.238;2003;5.928
San Biagio di Callalta;1.336.345;San Biagio di Callalta;4.000.244;342,72;228.23;114,49;2.663.899;2003;11.672
San Fior;767.300;San Fior;1.597.734;255,27;132.68;122,59;830.434;2003;6.259
San Pietro di Feletto;1.005.940;San Pietro di Feletto;1.723.514;341,22;142.07;199,16;717.574;2003;5.051
San Polo di Piave;842.652;San Polo di Piave;1.456.551;312,03;131.51;180,52;613.899;2003;4.668
Santa Lucia di Piave;888.750;Santa Lucia di Piave;2.763.278;360,41;244.49;115,92;1.874.528;2003;7.667
San Vendemiano;1.984.500;San Vendemiano;3.317.188;361,19;145.11;216,08;1.332.688;2003;9.184
San Zenone degli Ezzelini;650.931;San Zenone degli Ezzelini;2.015.849;293,86;198.97;94,89;1.364.918;2003;6.860
Sarmede;525.550;Sarmede;939.662;309,71;136.49;173,22;414.112;2003;3.034
Segusino;240.080;Segusino;495.629;240,71;124.11;116,6;255.549;2003;2.059
Sernaglia della Battaglia;476.280;Sernaglia della Battaglia;1.892.185;314,11;235.04;79,06;1.415.905;2003;6.024
Silea;1.151.542;Silea;3.684.036;383,67;263.75;119,93;2.532.494;2003;9.602
Spresiano;1.051.825;Spresiano;3.121.656;313,07;207.59;105,49;2.069.831;2003;9.971
Susegana;1.665.080;Susegana;4.558.395;407,25;258.49;148,76;2.893.315;2003;11.193
Tarzo;432.970;Tarzo;1.176.701;253,38;160.15;93,23;743.731;2003;4.644
Trevignano;961.337;Trevignano;3.187.034;341,08;238.20;102,88;2.225.697;2003;9.344
Treviso;25.946.250;Treviso;42.779.192;524,8;206.50;318,3;16.832.942;2003;81.516
Valdobbiadene;1.558.840;Valdobbiadene;3.571.531;335,04;188.81;146,23;2.012.691;2003;10.660
Vazzola;1.050.930;Vazzola;1.952.737;290,93;134.36;156,57;901.807;2003;6.712
Vedelago;1.927.231;Vedelago;4.361.182;300,07;167.47;132,6;2.433.951;2003;14.534
Vidor;408.210;Vidor;882.315;249,17;133.89;115,28;474.105;2003;3.541
Villorba;2.804.539;Villorba;7.501.396;432,73;270.95;161,78;4.696.857;2003;17.335
Vittorio Veneto;4.684.350;Vittorio Veneto;11.092.660;380,22;219.66;160,57;6.408.310;2003;29.174
Volpago del Montello;903.140;Volpago del Montello;2.790.963;306,06;207.02;99,04;1.887.823;2003;9.119
Zenson di Piave;213.957;Zenson di Piave;523.423;294,89;174.35;120,54;309.466;2003;1.775
Zero Branco;716.676;Zero Branco;2.246.465;253,95;172.94;81,02;1.529.789;2003;8.846
Annone Veneto;1.091.082;Annone Veneto;1.621.928;444,85;145.60;299,25;530.846;2003;3.646
Campagna Lupia;926.760;Campagna Lupia;2.203.710;338,72;196.27;142,45;1.276.950;2003;6.506
Campolongo Maggiore;1.384.260;Campolongo Maggiore;3.110.277;332,26;184.38;147,88;1.726.017;2003;9.361
Camponogara;1.770.640;Camponogara;3.849.122;333,69;180.19;153,5;2.078.482;2003;11.535
Caorle;11.996.153;Caorle;15.620.973;1.339,71;310.88;1.028,83;3.624.820;2003;11.660
Cavarzere;2.315.500;Cavarzere;5.787.972;376,06;225.62;150,45;3.472.472;2003;15.391
Ceggia;415.440;Ceggia;1.449.605;274,18;195.61;78,58;1.034.165;2003;5.287
Chioggia;21.226.390;Chioggia;27.638.618;535,13;124.15;410,98;6.412.228;2003;51.648
Cinto Caomaggiore;956.765;Cinto Caomaggiore;1.323.424;411,38;113.98;297,41;366.659;2003;3.217
Cona;463.200;Cona;1.172.370;360,62;218.14;142,48;709.170;2003;3.251
Concordia Sagittaria;3.867.628;Concordia Sagittaria;4.921.484;462,94;99.13;363,81;1.053.856;2003;10.631
Dolo;4.201.800;Dolo;7.596.543;521,96;233.25;288,7;3.394.743;2003;14.554
Eraclea;5.306.190;Eraclea;7.234.628;571,41;152.31;419,1;1.928.438;2003;12.661
Fiesso d'Artico;978.580;Fiesso d'Artico;2.243.620;353,38;199.25;154,13;1.265.040;2003;6.349
Fossalta di Piave;478.000;Fossalta di Piave;1.450.585;346,53;232.34;114,19;972.585;2003;4.186
Fossalta di Portogruaro;1.641.205;Fossalta di Portogruaro;2.686.178;456,13;177.44;278,69;1.044.973;2003;5.889
Fosso';863.320;Fossò;2.203.296;366,54;222.92;143,62;1.339.976;2003;6.011
Gruaro;900.338;Gruaro;1.367.212;506;172.79;333,21;466.874;2003;2.702
Iesolo;25.985.750;Jesolo;34.100.984;1.453,27;345.84;1.107,43;8.115.234;2003;23.465
Marcon;4.472.420;Marcon;6.406.537;510,4;154.09;356,31;1.934.117;2003;12.552
Martellago;5.042.420;Martellago;9.609.784;487,29;231.60;255,69;4.567.364;2003;19.721
Meolo;1.919.720;Meolo;3.729.423;594,71;288.58;306,13;1.809.703;2003;6.271
Mira;11.866.376;Mira;19.139.407;526,33;200.01;326,32;7.273.031;2003;36.364
Mirano;8.870.177;Mirano;13.638.736;521,56;182.35;339,2;4.768.559;2003;26.150
Musile di Piave;1.582.400;Musile di Piave;4.146.111;398,21;246.23;151,98;2.563.711;2003;10.412
Noale;4.439.520;Noale;7.375.386;487,31;193.98;293,33;2.935.866;2003;15.135
Noventa di Piave;1.015.580;Noventa di Piave;2.653.642;430,79;265.92;164,87;1.638.062;2003;6.160
Pianiga;1.420.000;Pianiga;3.743.701;395,7;245.61;150,09;2.323.701;2003;9.461
Portogruaro;9.303.563;Portogruaro;12.243.672;491,67;118.07;373,61;2.940.109;2003;24.902
Pramaggiore;930.544;Pramaggiore;1.521.446;359,85;139.76;220,09;590.902;2003;4.228
Quarto d'Altino;3.003.620;Quarto d'Altino;4.362.843;577,63;179.96;397,67;1.359.223;2003;7.553
Salzano;1.153.300;Salzano;3.103.430;263,63;165.66;97,97;1.950.130;2003;11.772
San Dona' di Piave;11.829.580;San Donà di Piave;18.613.923;504,62;183.92;320,7;6.784.343;2003;36.887
San Michele al Tagliamento;12.746.399;San Michele al Tagliamento;21.067.975;1.788,00;706.24;1.081,76;8.321.576;2003;11.783
Santa Maria di Sala;4.960.360;Santa Maria di Sala;7.196.254;496,4;154.23;342,16;2.235.894;2003;14.497
Santo Stino di Livenza;3.758.282;Santo Stino di Livenza;5.406.494;445,13;135.70;309,43;1.648.212;2003;12.146
Scorze';4.379.480;Scorzè;8.258.138;456,33;214.33;242;3.878.658;2003;18.097
Spinea;6.409.890;Spinea;11.606.328;473,03;211.79;261,24;5.196.438;2003;24.536
Stra;901.440;Stra;2.357.889;327,39;202.23;125,17;1.456.449;2003;7.202
Teglio Veneto;939.155;Teglio Veneto;1.267.071;628,2;162.58;465,62;327.916;2003;2.017
Torre di Mosto;1.420.250;Torre di Mosto;2.467.960;554,6;235.44;319,16;1.047.710;2003;4.450
Venezia;156.487.180;Venezia;187.779.678;691,22;115.19;576,03;31.292.498;2003;271.663
Vigonovo;1.732.660;Vigonovo;3.518.868;413,69;209.99;203,7;1.786.208;2003;8.506
Cavallino-Treporti;9.069.732;Cavallino-Treporti;13.894.157;1.141,11;396.22;744,89;4.824.425;2003;12.176
Abano Terme;7.781.890;Abano Terme;13.799.228;743,13;324.05;419,08;6.017.338;2003;18.569
Agna;478.660;Agna;1.318.848;407,68;259.72;147,96;840.188;2003;3.235
Albignasego;3.020.600;Albignasego;8.071.660;412,51;258.14;154,37;5.051.060;2003;19.567
Anguillara Veneta;423.650;Anguillara Veneta;1.547.592;326,57;237.17;89,4;1.123.942;2003;4.739
Arqua' Petrarca;227.580;Arquà Petrarca;595.277;323,52;199.84;123,68;367.697;2003;1.840
Arre;190.600;Arre;632.594;309,34;216.13;93,2;441.994;2003;2.045
Arzergrande;608.180;Arzergrande;1.547.182;375,71;228.02;147,69;939.002;2003;4.118
Bagnoli di Sopra;446.800;Bagnoli di Sopra;1.414.664;364,79;249.58;115,21;967.864;2003;3.878
Baone;322.880;Baone;998.418;320,83;217.08;103,75;675.538;2003;3.112
Barbona;61.510;Barbona;155.134;203,59;122.87;80,72;93.624;2003;762.000
Battaglia Terme;512.160;Battaglia Terme;1.563.401;374,83;252.04;122,79;1.051.241;2003;4.171
Boara Pisani;382.340;Boara Pisani;943.367;368,65;219.24;149,41;561.027;2003;2.559
Borgoricco;1.044.920;Borgoricco;2.486.291;344,84;199.91;144,93;1.441.371;2003;7.210
Bovolenta;334.120;Bovolenta;913.397;290,06;183.96;106,1;579.277;2003;3.149
Brugine;968.800;Brugine;2.311.599;358,17;208.06;150,11;1.342.799;2003;6.454
Cadoneghe;5.579.030;Cadoneghe;7.424.972;490,68;121.99;368,69;1.845.942;2003;15.132
Campodarsego;1.701.350;Campodarsego;4.584.935;386,43;243.03;143,39;2.883.585;2003;11.865
Campodoro;233.700;Campodoro;748.240;316,38;217.56;98,82;514.540;2003;2.365
Camposampiero;1.895.960;Camposampiero;5.026.729;450,42;280.53;169,89;3.130.769;2003;11.160
Campo San Martino;573.340;Campo San Martino;1.584.225;291,32;185.89;105,43;1.010.885;2003;5.438
Candiana;243.900;Candiana;711.130;291,09;191.25;99,84;467.230;2003;2.443
Carceri;180.340;Carceri;439.820;283,21;167.08;116,12;259.480;2003;1.553
Carmignano di Brenta;1.103.300;Carmignano di Brenta;2.628.512;364,82;211.69;153,13;1.525.212;2003;7.205
Cartura;461.560;Cartura;1.308.815;313,86;203.18;110,69;847.255;2003;4.170
Casale di Scodosia;730.137;Casale di Scodosia;1.860.126;382,51;232.36;150,14;1.129.989;2003;4.863
Casalserugo;755.960;Casalserugo;1.829.974;333,03;195.45;137,57;1.074.014;2003;5.495
Castelbaldo;246.897;Castelbaldo;639.022;379,02;232.58;146,44;392.125;2003;1.686
Cervarese Santa Croce;590.240;Cervarese Santa Croce;1.725.430;355,39;233.82;121,57;1.135.190;2003;4.855
Cinto Euganeo;226.260;Cinto Euganeo;614.483;294,72;186.20;108,52;388.223;2003;2.085
Cittadella;5.001.120;Cittadella;10.343.487;539,54;278.67;260,87;5.342.367;2003;19.171
Codevigo;1.067.920;Codevigo;2.371.177;410,88;225.83;185,05;1.303.257;2003;5.771
Conselve;1.341.020;Conselve;3.850.528;414,97;270.45;144,52;2.509.508;2003;9.279
Correzzola;639.580;Correzzola;1.881.581;345,94;228.35;117,59;1.242.001;2003;5.439
Curtarolo;706.520;Curtarolo;2.367.696;353,86;248.27;105,59;1.661.176;2003;6.691
Este;3.248.480;Este;7.588.842;452,17;258.62;193,56;4.340.362;2003;16.783
Fontaniva;956.320;Fontaniva;2.366.357;311,9;185.85;126,05;1.410.037;2003;7.587
Galliera Veneta;1.047.160;Galliera Veneta;3.045.685;447,7;293.77;153,93;1.998.525;2003;6.803
Galzignano Terme;531.040;Galzignano Terme;1.659.349;390,25;265.36;124,89;1.128.309;2003;4.252
Gazzo;458.840;Gazzo;1.147.133;317,33;190.40;126,93;688.293;2003;3.615
Grantorto;373.710;Grantorto;1.256.524;317,95;223.38;94,56;882.814;2003;3.952
Granze;187.600;Granze;521.897;299,42;191.79;107,63;334.297;2003;1.743
Legnaro;1.262.380;Legnaro;3.028.620;413,41;241.09;172,32;1.766.240;2003;7.326
Limena;1.257.940;Limena;3.607.333;510,45;332.45;178;2.349.393;2003;7.067
Loreggia;582.940;Loreggia;1.899.738;310,26;215.06;95,2;1.316.798;2003;6.123
Lozzo Atestino;375.140;Lozzo Atestino;931.790;297,32;177.62;119,7;556.650;2003;3.134
Masera' di Padova;784.100;Maserà di Padova;2.441.369;300,22;203.80;96,42;1.657.269;2003;8.132
Masi;266.637;Masi;675.239;374,72;226.75;147,97;408.602;2003;1.802
Massanzago;570.920;Massanzago;1.415.464;279,07;166.51;112,56;844.544;2003;5.072
Megliadino San Fidenzio;241.510;Megliadino San Fidenzio;592.251;322,23;190.83;131,4;350.741;2003;1.838
Megliadino San Vitale;239.670;Megliadino San Vitale;590.194;300,05;178.20;121,85;350.524;2003;1.967
Merlara;445.128;Merlara;1.130.032;379,08;229.76;149,32;684.904;2003;2.981
Mestrino;1.317.440;Mestrino;3.423.075;383,41;235.85;147,56;2.105.635;2003;8.928
Monselice;3.964.100;Monselice;9.066.592;516,53;290.69;225,84;5.102.492;2003;17.553
Montagnana;1.864.500;Montagnana;4.740.708;506,97;307.58;199,39;2.876.208;2003;9.351
Montegrotto Terme;2.978.960;Montegrotto Terme;7.393.667;702,02;419.17;282,85;4.414.707;2003;10.532
Noventa Padovana;1.203.492;Noventa Padovana;4.585.818;540,14;398.39;141,75;3.382.326;2003;8.490
Ospedaletto Euganeo;707.020;Ospedaletto Euganeo;1.907.850;338,45;213.03;125,42;1.200.830;2003;5.637
Padova;79.038.336;Padova;128.146.960;613,33;235.04;378,29;49.108.624;2003;208.938
Pernumia;628.740;Pernumia;1.447.560;385,6;218.12;167,49;818.820;2003;3.754
Piacenza d'Adige;216.808;Piacenza d'Adige;559.542;404,59;247.82;156,77;342.734;2003;1.383
Piazzola sul Brenta;1.474.770;Piazzola sul Brenta;3.756.800;349,86;212.52;137,34;2.282.030;2003;10.738
Piombino Dese;1.271.240;Piombino Dese;2.987.469;335,82;192.92;142,9;1.716.229;2003;8.896
Piove di Sacco;4.033.760;Piove di Sacco;8.497.848;475,14;249.60;225,54;4.464.088;2003;17.885
Polverara;278.220;Polverara;819.628;334,13;220.71;113,42;541.408;2003;2.453
Ponso;358.140;Ponso;1.001.964;416,27;267.48;148,79;643.824;2003;2.407
Pontelongo;498.820;Pontelongo;1.372.262;363,42;231.31;132,1;873.442;2003;3.776
Ponte San Nicolo';1.377.995;Ponte San Nicolò;4.554.372;365,31;254.78;110,53;3.176.377;2003;12.467
Pozzonovo;426.900;Pozzonovo;1.242.326;356,99;234.32;122,67;815.426;2003;3.480
Rovolon;540.860;Rovolon;1.517.124;363,82;234.12;129,7;976.264;2003;4.170
Rubano;2.640.680;Rubano;5.478.114;388,11;201.02;187,08;2.837.434;2003;14.115
Saccolongo;557.000;Saccolongo;1.517.237;340,11;215.25;124,86;960.237;2003;4.461
Saletto;351.580;Saletto;859.248;321,94;190.21;131,73;507.668;2003;2.669
San Giorgio delle Pertiche;1.060.720;San Giorgio delle Pertiche;2.918.303;351,18;223.54;127,64;1.857.583;2003;8.310
San Giorgio in Bosco;752.950;San Giorgio in Bosco;1.827.427;310,36;182.49;127,88;1.074.477;2003;5.888
San Martino di Lupari;1.863.690;San Martino di Lupari;5.427.794;456,23;299.58;156,65;3.564.104;2003;11.897
San Pietro in Gu;597.700;San Pietro in Gu;1.516.365;344,39;208.65;135,75;918.665;2003;4.403
San Pietro Viminario;400.840;San Pietro Viminario;890.130;343,81;188.99;154,82;489.290;2003;2.589
Santa Giustina in Colle;603.800;Santa Giustina in Colle;1.631.050;244,24;153.83;90,42;1.027.250;2003;6.678
Santa Margherita d'Adige;334.638;Santa Margherita d'Adige;849.755;373,03;226.13;146,9;515.117;2003;2.278
Sant'Angelo di Piove di Sacco;940.060;Sant'Angelo di Piove di Sacco;2.591.707;377,47;240.55;136,92;1.651.647;2003;6.866
Sant'Elena;360.820;Sant'Elena;797.489;422,85;231.53;191,31;436.669;2003;1.886
Sant'Urbano;765.870;Sant'Urbano;811.966;368,91;20.94;347,96;46.096;2003;2.201
Saonara;2.261.050;Saonara;3.940.963;424,76;181.06;243,7;1.679.913;2003;9.278
Selvazzano Dentro;3.283.080;Selvazzano Dentro;9.325.668;453,63;293.93;159,7;6.042.588;2003;20.558
Solesino;2.908.820;Solesino;4.787.180;677,97;266.02;411,96;1.878.360;2003;7.061
Stanghella;639.760;Stanghella;1.712.730;385,23;241.33;143,9;1.072.970;2003;4.446
Teolo;1.057.000;Teolo;3.394.904;402,38;277.10;125,28;2.337.904;2003;8.437
Terrassa Padovana;262.560;Terrassa Padovana;773.444;342,23;226.05;116,18;510.884;2003;2.260
Tombolo;1.197.540;Tombolo;3.133.639;430,33;265.87;164,45;1.936.099;2003;7.282
Torreglia;909.440;Torreglia;2.326.040;390,08;237.56;152,51;1.416.600;2003;5.963
Trebaseleghe;1.954.940;Trebaseleghe;4.309.425;379,72;207.46;172,26;2.354.485;2003;11.349
Tribano;534.060;Tribano;1.477.620;353,84;225.95;127,89;943.560;2003;4.176
Urbana;331.858;Urbana;842.800;377,09;228.61;148,48;510.942;2003;2.235
Veggiano;430.000;Veggiano;1.146.901;348,5;217.84;130,66;716.901;2003;3.291
Vescovana;188.090;Vescovana;604.732;383,47;264.20;119,27;416.642;2003;1.577
Vighizzolo d'Este;87.170;Vighizzolo d'Este;240.179;257,7;164.17;93,53;153.009;2003;932.000
Vigodarzere;1.406.540;Vigodarzere;3.664.563;302,18;186.20;115,98;2.258.023;2003;12.127
Vigonza;2.392.760;Vigonza;8.213.559;407,48;288.77;118,71;5.820.799;2003;20.157
Villa del Conte;723.540;Villa del Conte;1.678.494;324,16;184.43;139,73;954.954;2003;5.178
Villa Estense;370.830;Villa Estense;814.645;338,03;184.16;153,87;443.815;2003;2.410
